State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Oregon,Baker,2019,360,328,32,0,0,0,0,64,49,23,0,0,0,0,360,0
Oregon,Benton,2019,365,332,33,0,0,0,0,85,49,17,0,0,0,0,365,0
Oregon,Clackamas,2019,199,191,7,1,0,0,0,101,44,31,0,0,143,0,56,0
Oregon,Columbia,2019,363,355,8,0,0,0,0,84,38,24,0,0,141,0,222,0
Oregon,Coos,2019,107,106,1,0,0,0,0,58,35,19,0,0,0,0,107,0
Oregon,Crook,2019,365,296,68,1,0,0,0,103,59,23,0,0,0,0,365,0
Oregon,Deschutes,2019,365,341,19,4,1,0,0,153,43,20,0,0,0,0,365,0
Oregon,Douglas,2019,347,288,59,0,0,0,0,80,59,24,0,0,0,0,347,0
Oregon,Grant,2019,349,255,93,1,0,0,0,103,60,30,0,0,0,0,349,0
Oregon,Harney,2019,364,264,95,5,0,0,0,131,66,33,0,0,0,0,363,1
Oregon,Jackson,2019,365,295,63,3,4,0,0,180,61,36,0,0,141,0,224,0
Oregon,Jefferson,2019,365,291,72,2,0,0,0,122,61,22,0,0,0,0,365,0
Oregon,Josephine,2019,365,283,77,3,2,0,0,169,64,26,0,0,0,0,365,0
Oregon,Klamath,2019,365,261,98,6,0,0,0,126,75,29,0,0,0,0,361,4
Oregon,Lake,2019,363,311,51,1,0,0,0,106,56,19,0,0,0,0,363,0
Oregon,Lane,2019,365,254,103,8,0,0,0,117,75,38,0,0,109,0,246,10
Oregon,Linn,2019,365,280,83,2,0,0,0,104,62,28,0,0,0,0,365,0
Oregon,Marion,2019,356,302,54,0,0,0,0,92,59,32,0,0,138,0,218,0
Oregon,Multnomah,2019,365,321,44,0,0,0,0,89,52,34,0,11,228,0,126,0
Oregon,Umatilla,2019,365,296,68,1,0,0,0,104,58,37,0,0,150,0,215,0
Oregon,Union,2019,365,344,21,0,0,0,0,86,43,20,0,0,0,0,362,3
Oregon,Wallowa,2019,363,333,29,1,0,0,0,103,48,22,0,0,0,0,363,0
Oregon,Wasco,2019,350,298,52,0,0,0,0,88,57,23,0,0,0,0,350,0
Oregon,Washington,2019,365,310,54,1,0,0,0,102,57,32,0,13,165,0,186,1
